Script Name,Category,Sector,Price (in rupees),Market Cap (in crores),Source,ETL Date
Kurlon Enterprise Limited,Unlisted,Consumer Durable,560.00,"2,046.927",wwipl,2023-09-09
Taparia Tools Limited,Illiquid/unquoted,Other,"1,313.00","1,992.970",wwipl,2023-09-09
Inox Leasing And Finance Limited,Unlisted,Financial Service,"2,000.00","1,980.010",wwipl,2023-09-09
Hotahoti Wood Products Limited,Illiquid/unquoted,Financial Service,990.00,"1,979.996",wwipl,2023-09-09
Arohan Financial Services Limited,Unlisted,Financial Service,125.00,"1,977.227",wwipl,2023-09-09
Utkarsh Coreinvest Limited,Unlisted,Financial Service,190.00,"1,869.998",wwipl,2023-09-09
Fino PayTech Limited,Unlisted,Financial Service,140.00,"1,863.088",wwipl,2023-09-09
Tongani Tea Company Limited,Unlisted,"Tea, Coffee & Plantation","1,000.00","1,857.750",wwipl,2023-09-09
One Mobikwik Systems Limited,Pre IPO,Financial Service,320.00,"1,829.905",wwipl,2023-09-09
Studds Accessories Limited,Unlisted,Safety Accessories,835.00,"1,643.004",wwipl,2023-09-09
CTR Manufacturing Industries Private Limited,Unlisted,Electric Equipment,"90,000.00","1,594.710",wwipl,2023-09-09
Bharat Hotels Limited,Delisted,Hotel or Catering,205.00,"1,557.820",wwipl,2023-09-09
GKN Driveline India Limited,Delisted,Auto Ancillaries,"1,175.00","1,500.835",wwipl,2023-09-09
Fincare Business Services Limited,Unlisted,Financial Service,45.50,"1,500.363",wwipl,2023-09-09
IKF Finance Limited,Unlisted,Financial Service,221.00,"1,427.109",wwipl,2023-09-09
National Commodity And Derivatives Exchange Limited,Unlisted,Financial Service,275.00,"1,393.590",wwipl,2023-09-09
Indofil Industries Limited,Unlisted,Pesticides,650.00,"1,387.825",wwipl,2023-09-09
Mohan Meakin Limited,Unlisted,Breweries & Distilleries,"1,625.00","1,382.628",wwipl,2023-09-09
Arch Pharma Labs Limited,Delisted,Other,90.10,"1,368.826",wwipl,2023-09-09
Manjushree Technopack Limited,Delisted,Packaging,"1,010.00","1,368.318",wwipl,2023-09-09
