Script Name,Category,Sector,Price (in rupees),Market Cap (in crores),Source,ETL Date
Down Town Hospital Limited,Unlisted,Hospital,100.00,30.000,wwipl,2023-09-09
Jagadishwar Pharmaceuticals Works Limited,Illiquid/unquoted,Pharma,10.01,29.730,wwipl,2023-09-09
Bateli Tea Company Limited,Unlisted,Other,"1,350.00",28.921,wwipl,2023-09-09
Svarnim Trade Udyog Limited,Illiquid/unquoted,Trading,117.00,28.449,wwipl,2023-09-09
Pine Animation Limited,Suspended,"IT, Software",1.00,27.700,wwipl,2023-09-09
East India Pharmaceutical Works Limited,Unlisted,Pharma,40.00,26.700,wwipl,2023-09-09
Nicco Corporation Limited,Delisted,Engineering,2.00,26.375,wwipl,2023-09-09
Sigachi Laboratories Limited,Illiquid/unquoted,Pharma,39.00,26.337,wwipl,2023-09-09
Sistema Smart Technologies Limited,Unlisted,Telecomm,0.11,26.335,wwipl,2023-09-09
Ganodaya Finlease Limited,Illiquid/unquoted,NBFC,39.15,25.448,wwipl,2023-09-09
LCC Infotech Limited,Delisted,"IT, Software",2.00,25.319,wwipl,2023-09-09
Ashapura Intimates Fashion Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",10.01,25.237,wwipl,2023-09-09
Dr Fresh Assets Limited,Illiquid/unquoted,Real Estate,45.00,24.596,wwipl,2023-09-09
Medexport India Limited,Illiquid/unquoted,Trading,35.00,24.500,wwipl,2023-09-09
Kwality Limited,Suspended,FMCG,1.00,24.135,wwipl,2023-09-09
Hardoli Paper Mills Limited,Illiquid/unquoted,Paper,89.00,23.961,wwipl,2023-09-09
Intertec Technologies Limited,Illiquid/unquoted,Miscellaneous,31.35,23.703,wwipl,2023-09-09
The Birla Cotton Spinning and Weaving Mills Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",205.00,23.456,wwipl,2023-09-09
Rajparis Civil Constructions Limited,Illiquid/unquoted,Real Estate,57.25,23.348,wwipl,2023-09-09
Kashipur Holdings Limited,Unlisted,Miscellaneous,100.00,22.772,wwipl,2023-09-09
B S Refrigerators Limited,Delisted,Consumer Durable,10.00,22.593,wwipl,2023-09-09
Chitrakut Holdings Limited,Illiquid/unquoted,Financial Service,30.40,22.253,wwipl,2023-09-09
Jardine Henderson Limited,Unlisted,Miscellaneous,"1,100.00",22.000,wwipl,2023-09-09
Indo Alusys Industries Limited,Unlisted,Metal,25.75,21.908,wwipl,2023-09-09
New Chumta  Tea Company limited,Unlisted,"Tea, Coffee & Plantation",100.00,21.400,wwipl,2023-09-09
Ranicherra Tea Company  Limited,Unlisted,"Tea, Coffee & Plantation",82.00,21.320,wwipl,2023-09-09
Rainbow Papers Limited,Suspended,Paper,2.00,21.243,wwipl,2023-09-09
Bharat NRE Coke Limited,Delisted,Mining & Minerals,1.00,21.169,wwipl,2023-09-09
Bil Energy Systems Ltd,Suspended,Power & Electricity,1.00,21.142,wwipl,2023-09-09
Arcotech Limited,Suspended,Metal,2.00,21.000,wwipl,2023-09-09
The Delhi Safe Deposit Company Limited,Illiquid/unquoted,Other,40.00,20.892,wwipl,2023-09-09
Akash Agro Industries Limited,Illiquid/unquoted,Agriculture & Agro Products,50.60,20.699,wwipl,2023-09-09
Pearl Apartments Limited,Illiquid/unquoted,Miscellaneous,411.90,20.595,wwipl,2023-09-09
Cyber Media Research and Services Limited,Pre IPO,Media,190.00,20.305,wwipl,2023-09-09
Jotindra Steel And Tubes Limited,Illiquid/unquoted,Real Estate,41.00,19.978,wwipl,2023-09-09
Amitabh Bachchan Corporation Pvt Ltd,Unlisted,Entertainment,4.00,19.509,wwipl,2023-09-09
Reliance Mediaworks Limited,Delisted,Media,1.00,19.321,wwipl,2023-09-09
Sangrahalaya Timber and Crafts Limited,Illiquid/unquoted,Financial Service,9.25,18.509,wwipl,2023-09-09
The Nelliampathy Tea and Produce Company Limited,Unlisted,"Tea, Coffee & Plantation",370.00,18.102,wwipl,2023-09-09
Kumar Autocast Limited,Illiquid/unquoted,Casting & Forgings,17.15,17.791,wwipl,2023-09-09
Haldia Petrochemicals Limited,Unlisted,"Energy, Oil & Gas",0.10,16.879,wwipl,2023-09-09
JVL Agro Industries Limited,Suspended,Agro Products,1.00,16.794,wwipl,2023-09-09
Swati Projects Limited,Illiquid/unquoted,Financial Service,16.01,16.170,wwipl,2023-09-09
Madbow Ventures Limited,Unlisted,Retail,34.00,15.980,wwipl,2023-09-09
Peirce Leslie India Limited,Unlisted,Service,52.00,15.905,wwipl,2023-09-09
Patels Airflow Limited,Unlisted,Other,70.00,15.751,wwipl,2023-09-09
Starlite Global Enterprises India Limited,Illiquid/unquoted,Real Estate,38.85,15.434,wwipl,2023-09-09
Pact Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",2.75,15.237,wwipl,2023-09-09
Merit Credit Corporation Limited,Illiquid/unquoted,Financial Service,24.70,14.820,wwipl,2023-09-09
Lakshmi Energy and Foods Limited,Suspended,Food & Drinks,2.00,14.726,wwipl,2023-09-09
The Methoni Tea Company Limited,Unlisted,Hotel or Catering,162.00,14.710,wwipl,2023-09-09
OCL Iron And Steel Ltd,Suspended,"Metal, Steel & Iron",1.00,14.531,wwipl,2023-09-09
Sterling Estates and Properties Limited,Illiquid/unquoted,Real Estate,43.85,14.471,wwipl,2023-09-09
Hindustan Dorr Oliver Limited,Delisted,Construction,2.00,14.401,wwipl,2023-09-09
Metkore Alloys  and  Industries Limited,Suspended,Metal,2.00,14.085,wwipl,2023-09-09
Dewas Metal Sections Limited,Unlisted,"Metal, Steel & Iron",45.00,13.995,wwipl,2023-09-09
Agarwal Duplex Board Mills Limited,Illiquid/unquoted,Paper,1.00,13.500,wwipl,2023-09-09
Birla Cotsyn India Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",0.05,13.433,wwipl,2023-09-09
Tunwal E Motors Private Limited,Unlisted,Other,130.00,13.374,wwipl,2023-09-09
Virat Leasing Limited,Delisted,Investment & Holding,10.10,13.110,wwipl,2023-09-09
Vijay Shanthi Builders Limited,Delisted,Real Estate,5.00,13.094,wwipl,2023-09-09
Arraycom India Limited,Unlisted,Other,26.10,13.050,wwipl,2023-09-09
Silicon Valley Infotech Limited,Delisted,"IT, Software",1.00,12.968,wwipl,2023-09-09
Reliance Broadcast Network Limited,Delisted,Media,0.10,12.795,wwipl,2023-09-09
Silverline Technologies Limited,Delisted,"IT, Software",2.10,12.597,wwipl,2023-09-09
East West Hotels Limited,Unlisted,Hotel or Catering,350.00,12.469,wwipl,2023-09-09
Rathi Industries Limited,Illiquid/unquoted,"Metal, Steel & Iron",19.00,12.274,wwipl,2023-09-09
Meenakshi Mercantiles Limited,Illiquid/unquoted,Financial Service,10.00,12.239,wwipl,2023-09-09
Sangameshwar Coffee Estates Limited,Unlisted,"Tea, Coffee & Plantation",95.00,11.991,wwipl,2023-09-09
Central Cables Limited,Illiquid/unquoted,Cables,73.20,11.895,wwipl,2023-09-09
High Ground Enterprise Limited,Suspended,Engineering,1.00,11.512,wwipl,2023-09-09
Manpasand Beverages Limited,Suspended,Other,1.00,11.446,wwipl,2023-09-09
MPL Enterprises Limited,Unlisted,NBFC,39.80,11.304,wwipl,2023-09-09
Cremica Agro Foods Limited,Illiquid/unquoted,Food & Drinks,25.10,11.284,wwipl,2023-09-09
Kirti Investments Limited,Illiquid/unquoted,Investment & Holding,5.00,11.000,wwipl,2023-09-09
Robert Resources Limited,Illiquid/unquoted,Trading,10.70,10.962,wwipl,2023-09-09
Steadfast Corporation Limited,Illiquid/unquoted,Miscellaneous,14.91,10.632,wwipl,2023-09-09
Balaji Agro Oils Limited,Illiquid/unquoted,Agro Products,10.05,10.630,wwipl,2023-09-09
Visisth Chay Vyapar Limited,Illiquid/unquoted,Financial Service,5.30,10.599,wwipl,2023-09-09
Kesoram Textile Mills Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",2.01,10.509,wwipl,2023-09-09
Deepjyoti Textiles Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",20.80,10.421,wwipl,2023-09-09
Gemini Communication Limited,Delisted,"IT, Software",1.00,10.415,wwipl,2023-09-09
SSF Limited,Illiquid/unquoted,Retail,15.50,10.318,wwipl,2023-09-09
Ace Exports Limited,Illiquid/unquoted,Footwear,19.00,10.246,wwipl,2023-09-09
India Stuffyarn Limited,Illiquid/unquoted,Trading,180.00,10.224,wwipl,2023-09-09
AKS Credits Limited,Illiquid/unquoted,Financial Service,9.15,10.065,wwipl,2023-09-09
The Bormah Jan Tea Company 1936 Limited,Unlisted,Agriculture & Agro Products,800.00,10.000,wwipl,2023-09-09
John Oakey And Mohan Limited,Unlisted,Forestry & Wood,205.00,9.917,wwipl,2023-09-09
Auckland Jute Co Limited,Unlisted,Other,36.00,9.883,wwipl,2023-09-09
Balanoor Plantations and Industries Limited,Unlisted,"Tea, Coffee & Plantation",160.00,9.868,wwipl,2023-09-09
DHSL Textiles India Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",19.55,9.771,wwipl,2023-09-09
Shah Construction Company Limited,Delisted,Construction,600.00,9.675,wwipl,2023-09-09
CKP Leisure Limited,Suspended,Hotel or Catering,10.00,9.634,wwipl,2023-09-09
ICSA India Limited,Suspended,"IT, Software",2.00,9.628,wwipl,2023-09-09
RK Manufacturing Company Limited,Illiquid/unquoted,Metal,10.00,9.586,wwipl,2023-09-09
Cura Technologies Limited,Suspended,"IT, Software",10.00,9.555,wwipl,2023-09-09
Jagat Trading Enterprises Limited,Illiquid/unquoted,Trading,18.70,9.503,wwipl,2023-09-09
AKC Steel Industries Limited,Unlisted,"Metal, Steel & Iron",30.00,9.501,wwipl,2023-09-09
Calcutta Security Printers Limited,Delisted,Printing & Stationery,220.00,9.460,wwipl,2023-09-09
Haileyburia Tea Estates Limited,Unlisted,"Tea, Coffee & Plantation",60.00,9.450,wwipl,2023-09-09
Pace Automation Limited,Illiquid/unquoted,"IT, Software",10.00,9.448,wwipl,2023-09-09
Ganon Products Limited,Delisted,Other,10.00,9.331,wwipl,2023-09-09
Pincon Spirit Limited,Suspended,Breweries & Distilleries,2.10,9.258,wwipl,2023-09-09
Shakumbhri Pulp and Paper Mills Limited,Illiquid/unquoted,Paper,23.60,9.098,wwipl,2023-09-09
Rushabh Precision Bearings Limited,Suspended,Auto Ancillaries,10.00,9.000,wwipl,2023-09-09
Progressive Finlease Limited,Illiquid/unquoted,Financial Service,10.00,8.947,wwipl,2023-09-09
Bombay Gas Company Limited,Unlisted,GAS,11.01,8.808,wwipl,2023-09-09
Crescent Finstock Limited,Illiquid/unquoted,Financial Service,12.00,8.668,wwipl,2023-09-09
Artedz Fabs Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",10.00,8.560,wwipl,2023-09-09
Hillridge Investments Limited,Illiquid/unquoted,Financial Service,10.00,8.500,wwipl,2023-09-09
Ranjan Polysters Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",28.25,8.478,wwipl,2023-09-09
Eon Electric Limited,Suspended,Electricals,5.00,8.451,wwipl,2023-09-09
Midland Services Limited,Illiquid/unquoted,Service,26.40,8.447,wwipl,2023-09-09
Federal Mogul Anand Sealings India Limited,Unlisted,Auto Ancillaries,10.00,8.334,wwipl,2023-09-09
Stanes Amalgamated Estates Limited,Unlisted,Other,75.00,8.306,wwipl,2023-09-09
Cals Refineries Limited,Delisted,"Energy, Oil & Gas",0.01,8.294,wwipl,2023-09-09
DTL India Holdings Limited,Illiquid/unquoted,Metal,75.75,8.233,wwipl,2023-09-09
Genesis Developers And Holdings Limited,Illiquid/unquoted,Financial Service,10.00,8.165,wwipl,2023-09-09
The Puthutotam Estates 1943 Limited,Unlisted,"Tea, Coffee & Plantation",770.00,8.085,wwipl,2023-09-09
Dr M Induscorp Limited,Illiquid/unquoted,Trading,10.00,7.560,wwipl,2023-09-09
Bansal Multiflex Limited,Suspended,Trading,10.00,7.410,wwipl,2023-09-09
Kothari Safe Deposits Limited,Unlisted,Other,110.00,7.402,wwipl,2023-09-09
The Canara Workshops Limited,Unlisted,Auto Components,50.00,7.350,wwipl,2023-09-09
IMC Limited,Delisted,Transport,10.00,7.238,wwipl,2023-09-09
Satya Shyam Trading Limited,Illiquid/unquoted,Trading,22.65,7.221,wwipl,2023-09-09
ZR Infra Limited,Illiquid/unquoted,Real Estate,6.15,7.128,wwipl,2023-09-09
Nandini Texcom India Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",14.00,7.000,wwipl,2023-09-09
Asianlakto Industries Limited,Illiquid/unquoted,Food & Drinks,11.00,6.919,wwipl,2023-09-09
Twenty First Century India Limited,Illiquid/unquoted,Investment & Holding,1.00,6.907,wwipl,2023-09-09
Accuvant Advisory Services Limited,Illiquid/unquoted,Financial Service,10.15,6.889,wwipl,2023-09-09
Ojswi Trades Investment And Finance Limited,Illiquid/unquoted,Financial Service,10.00,6.750,wwipl,2023-09-09
Aggarsain Spinners Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",19.20,6.726,wwipl,2023-09-09
Bharat Ekansh Limited,Illiquid/unquoted,Financial Service,13.35,6.675,wwipl,2023-09-09
Ashoka Viniyoga Limited,Unlisted,Investment & Holding,100.00,6.424,wwipl,2023-09-09
Budge Budge Company Ltd,Delisted,"Textiles, Yarn, Cotton & Spinning",10.00,6.382,wwipl,2023-09-09
Bharat Bio Gas Energy Limited,Unlisted,GAS,10.00,6.250,wwipl,2023-09-09
Shradha Industries Limited,Illiquid/unquoted,"IT, Software",49.85,6.201,wwipl,2023-09-09
Agarwal Bolts Limited,Unlisted,Equipment,"1,200.00",6.000,wwipl,2023-09-09
Ankur Marketing Limited,Illiquid/unquoted,Financial Service,20.00,6.000,wwipl,2023-09-09
PHF Leasing Limited,Illiquid/unquoted,Real Estate,17.00,5.916,wwipl,2023-09-09
Rampur Fertilizers Limited,Illiquid/unquoted,Fertilisers,11.95,5.913,wwipl,2023-09-09
Maryada Commercial Enterprises and Investment Co Ltd,Illiquid/unquoted,Financial Service,46.45,5.783,wwipl,2023-09-09
JDS Finance Company Limited,Illiquid/unquoted,Financial Service,10.00,5.735,wwipl,2023-09-09
Purbasha Resources Limited,Unlisted,Investment & Holding,19.00,5.702,wwipl,2023-09-09
Adventz Securities Enterprises Limited,Illiquid/unquoted,Financial Service,10.00,5.628,wwipl,2023-09-09
Aashrit Capital Limited,Illiquid/unquoted,Financial Service,5.00,5.601,wwipl,2023-09-09
Milton Cycle Industries Limited,Unlisted,Other,132.00,5.544,wwipl,2023-09-09
Quality Synthetic Industries Limited,Illiquid/unquoted,Financial Service,10.00,5.500,wwipl,2023-09-09
I Secure Credit and Capital Services Limited,Illiquid/unquoted,Financial Service,10.00,5.433,wwipl,2023-09-09
JCK Infrastructure Development Limited,Illiquid/unquoted,Infrastructure,13.00,5.417,wwipl,2023-09-09
Hind Ispat Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",2.10,5.395,wwipl,2023-09-09
Goldedge Estate And Investments Limited,Illiquid/unquoted,Financial Service,10.50,5.379,wwipl,2023-09-09
Newlink Overseas Finance Limited,Unlisted,Financial Service,10.00,5.301,wwipl,2023-09-09
Accentia Technologies Limited,Delisted,"IT, Software",3.11,5.295,wwipl,2023-09-09
Lark Trading and Finance Limited,Illiquid/unquoted,Trading,10.00,5.260,wwipl,2023-09-09
National Cereals Products limited,Unlisted,Food & Drinks,39.50,5.192,wwipl,2023-09-09
Indu Engineering And Textiles Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,5.145,wwipl,2023-09-09
Rich N Rich Finance And Holdings Limited,Illiquid/unquoted,Financial Service,10.10,5.050,wwipl,2023-09-09
N E Electronics Limited,Illiquid/unquoted,Electronics,1.00,5.001,wwipl,2023-09-09
Konark Commercial Limited,Illiquid/unquoted,Financial Service,10.00,5.000,wwipl,2023-09-09
USS Global Limited,Illiquid/unquoted,Real Estate,10.00,5.000,wwipl,2023-09-09
Pushkar Banijya Limited,Illiquid/unquoted,NBFC,10.01,4.984,wwipl,2023-09-09
Centron Industrial Alliance Limited,Illiquid/unquoted,Other,0.50,4.980,wwipl,2023-09-09
Sri Narayan Raj Kumar Merchants Limited,Illiquid/unquoted,"Metal, Steel & Iron",10.00,4.979,wwipl,2023-09-09
Sun Finlease Gujarat Limited,Illiquid/unquoted,Financial Service,16.25,4.929,wwipl,2023-09-09
Vadilal Chemicals Limited,Unlisted,Chemical,10.00,4.874,wwipl,2023-09-09
Sidh Management Corporate Services Limited,Illiquid/unquoted,Financial Service,23.00,4.870,wwipl,2023-09-09
Amarkantak Traders Limited,Illiquid/unquoted,Service,11.95,4.508,wwipl,2023-09-09
Skybox Industries Limited formerly smart cap Service ltd,Illiquid/unquoted,Miscellaneous,10.00,4.501,wwipl,2023-09-09
Sarnimal Investment Limited,Illiquid/unquoted,Investment & Holding,1.00,4.498,wwipl,2023-09-09
Tulya Alloy Castings Limited,Unlisted,"Metal, Steel & Iron",10.01,4.456,wwipl,2023-09-09
Mcdowell Holdings Limited,Delisted,Financial Service,3.01,4.212,wwipl,2023-09-09
CKP Products Limited,Suspended,FMCG,10.00,4.023,wwipl,2023-09-09
Hilltone Software and Gases Limited,Unlisted,GAS,10.00,4.000,wwipl,2023-09-09
Krimy Biscuits and Chemical Industries Limited,Illiquid/unquoted,Chemical,10.00,3.930,wwipl,2023-09-09
Kamini Finance and Investment Company Limited,Illiquid/unquoted,Financial Service,3.25,3.901,wwipl,2023-09-09
Sophia Exports Limited,Illiquid/unquoted,Miscellaneous,10.00,3.854,wwipl,2023-09-09
Maxplus Logistics Limited,Illiquid/unquoted,Transport,10.00,3.834,wwipl,2023-09-09
Skyline India Limited,Illiquid/unquoted,Trading,8.95,3.812,wwipl,2023-09-09
Carbo Ceramics Limited,Unlisted,Miscellaneous,40.00,3.760,wwipl,2023-09-09
Reliance Polycrete Limited,Illiquid/unquoted,Mining & Minerals,10.00,3.711,wwipl,2023-09-09
Amrit Agro Industries Limited,Unlisted,FMCG,10.00,3.665,wwipl,2023-09-09
Bellary Steels and Alloys Limited,Delisted,"Metal, Steel & Iron",0.05,3.657,wwipl,2023-09-09
Mountain Spinning Mills Limited,Unlisted,Cotton,10.00,3.620,wwipl,2023-09-09
Zel Jewellers Limited,Illiquid/unquoted,FMCG,10.00,3.550,wwipl,2023-09-09
Roadways India Limited,Illiquid/unquoted,Transport,10.00,3.520,wwipl,2023-09-09
Hindustan Auto Finance Limited,Illiquid/unquoted,Financial Service,10.00,3.503,wwipl,2023-09-09
PIH Finvest Company Limited,Unlisted,Financial Service,39.10,3.411,wwipl,2023-09-09
Madhya Bharat Papers Limited,Unlisted,Paper,10.00,3.410,wwipl,2023-09-09
Opal Luxury Time Products Limited,Suspended,Miscellaneous,10.00,3.359,wwipl,2023-09-09
Jain Farms Palm Oil Limited,Illiquid/unquoted,FMCG,11.15,3.345,wwipl,2023-09-09
Parijat Paper Mills Limited,Illiquid/unquoted,Paper,10.00,3.290,wwipl,2023-09-09
New Era Alkaloids and Export Limited,Illiquid/unquoted,Chemical,10.00,3.284,wwipl,2023-09-09
Nitu Trading Company Limited,Illiquid/unquoted,Trading,10.00,3.275,wwipl,2023-09-09
Atlas Cycles Haryana Ltd,Suspended,FMCG,5.00,3.252,wwipl,2023-09-09
Fiber Plus Industries Limited,Illiquid/unquoted,Miscellaneous,10.00,3.248,wwipl,2023-09-09
RR Corporate Securities Limited,Illiquid/unquoted,Financial Service,10.00,3.200,wwipl,2023-09-09
Vadilal Dairy International Limited,Delisted,Dairy,10.00,3.194,wwipl,2023-09-09
Austral Coke and Projects Limited,Suspended,Metal,0.11,3.193,wwipl,2023-09-09
Ritman Infra Limited,Illiquid/unquoted,Real Estate,10.00,3.193,wwipl,2023-09-09
Technical Associates Infrapower Limited,Illiquid/unquoted,Engineering,5.30,3.180,wwipl,2023-09-09
Regal Enterprises Limited,Illiquid/unquoted,Miscellaneous,10.00,3.165,wwipl,2023-09-09
Prabhat Securities Limited,Illiquid/unquoted,Financial Service,10.80,3.132,wwipl,2023-09-09
Aurum Capital Projects Limited,Illiquid/unquoted,Financial Service,9.70,3.114,wwipl,2023-09-09
Tarangini Investments Limited,Illiquid/unquoted,Investment & Holding,1.00,3.106,wwipl,2023-09-09
River Front Hotels Limited,Illiquid/unquoted,Hotel or Catering,10.30,3.098,wwipl,2023-09-09
Encore Business System Limited,Illiquid/unquoted,Miscellaneous,10.00,3.097,wwipl,2023-09-09
Gracious Vanijya Limited,Illiquid/unquoted,Financial Service,13.50,3.084,wwipl,2023-09-09
Jain Farms And Resorts Limited,Illiquid/unquoted,Real Estate,10.25,3.075,wwipl,2023-09-09
Grand Foundry Ltd,Delisted,"Metal, Steel & Iron",1.01,3.073,wwipl,2023-09-09
Lingapur Estates Limited,Unlisted,"Tea, Coffee & Plantation",20.00,3.068,wwipl,2023-09-09
RCS Financial Technology Limited,Illiquid/unquoted,Financial Service,10.00,3.065,wwipl,2023-09-09
Slesha Commercial Limited,Illiquid/unquoted,Financial Service,10.00,3.049,wwipl,2023-09-09
Sicom Limited,Unlisted,NBFC,0.50,3.038,wwipl,2023-09-09
Amrit India Limited,Illiquid/unquoted,Service,10.00,3.038,wwipl,2023-09-09
Samyak Corporation Limited,Illiquid/unquoted,Financial Service,9.95,3.034,wwipl,2023-09-09
Kiranglobal Business Investment Limited,Illiquid/unquoted,Financial Service,10.00,3.022,wwipl,2023-09-09
Kumar Food Industries Limited,Illiquid/unquoted,FMCG,10.00,3.000,wwipl,2023-09-09
Fedders Electric and Engineering Limited,Suspended,Engineering,0.10,3.000,wwipl,2023-09-09
Nakoda Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.01,3.000,wwipl,2023-09-09
Ellora Traders Limited,Illiquid/unquoted,Financial Service,10.00,2.992,wwipl,2023-09-09
Baghmari Tea Co Ltd,Unlisted,Other,90.00,2.970,wwipl,2023-09-09
Udaipur Cotton Mills Company Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",10.00,2.929,wwipl,2023-09-09
Greenearth Resources And Projects Limited,Delisted,Mining & Minerals,0.10,2.903,wwipl,2023-09-09
Supraneet Finance and Consultants Limited,Illiquid/unquoted,Financial Service,10.00,2.877,wwipl,2023-09-09
The Teloijan Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",160.00,2.870,wwipl,2023-09-09
SNS Laboratories Limited,Illiquid/unquoted,Financial Service,10.00,2.863,wwipl,2023-09-09
KRA Leasing Limited,Illiquid/unquoted,Financial Service,2.05,2.750,wwipl,2023-09-09
Celestial Biolabs Limited,Suspended,Pharma,1.21,2.733,wwipl,2023-09-09
JRD Finance Limited,Illiquid/unquoted,Financial Service,10.00,2.720,wwipl,2023-09-09
Distinctive Properties and Leasing Ltd,Illiquid/unquoted,Real Estate,26.85,2.678,wwipl,2023-09-09
Amarawati Tea Co Ltd,Unlisted,Other,"2,200.00",2.640,wwipl,2023-09-09
Indo Bonito Multinational Limited,Delisted,Financial Service,1.00,2.494,wwipl,2023-09-09
Hirajuli Tea Company Limited,Unlisted,"Tea, Coffee & Plantation",160.00,2.450,wwipl,2023-09-09
Ace Stone Craft Limited,Illiquid/unquoted,Ceramics & Granite,1.04,2.443,wwipl,2023-09-09
Valecha Engineering Limited,Suspended,Engineering,1.05,2.366,wwipl,2023-09-09
Thanjavur Spinning Mill Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",20.05,2.353,wwipl,2023-09-09
Brisk Services Limited,Illiquid/unquoted,Service,31.00,2.309,wwipl,2023-09-09
Mrigaya Estate And Finance Limited,Illiquid/unquoted,Financial Service,14.45,2.211,wwipl,2023-09-09
Spangle Marketing Limited,Illiquid/unquoted,Financial Service,10.00,2.202,wwipl,2023-09-09
Dhelakhat Tea Co Ltd,Unlisted,Other,55.00,2.160,wwipl,2023-09-09
Purity Flexpack Limited,Illiquid/unquoted,Packaging,20.00,2.147,wwipl,2023-09-09
Birla Power Solution Limited,Delisted,Electric Equipment,0.01,2.135,wwipl,2023-09-09
Nidhi Services Limited,Illiquid/unquoted,Service,14.02,2.103,wwipl,2023-09-09
Kalyani Tea Co Limited,Unlisted,"Tea, Coffee & Plantation",210.00,2.075,wwipl,2023-09-09
Associated Ceramics Limited,Delisted,Engineering,10.00,2.045,wwipl,2023-09-09
E L Forge Limited,Delisted,"Metal, Steel & Iron",1.00,2.032,wwipl,2023-09-09
Eastern Dooars Tea Co ltd,Illiquid/unquoted,"Tea, Coffee & Plantation",101.00,2.020,wwipl,2023-09-09
Saanvi Advisors Limited,Illiquid/unquoted,Financial Service,10.00,2.011,wwipl,2023-09-09
Capital Finvest Limited,Illiquid/unquoted,Financial Service,10.00,2.000,wwipl,2023-09-09
Amar Vanijya Limited,Illiquid/unquoted,Miscellaneous,10.00,1.992,wwipl,2023-09-09
Pillar Investment Company Limited,Illiquid/unquoted,Investment & Holding,10.00,1.985,wwipl,2023-09-09
P R Holdings Limited,Illiquid/unquoted,Real Estate,10.00,1.890,wwipl,2023-09-09
Malankara Plantations Limited,Unlisted,"Tea, Coffee & Plantation",51.00,1.843,wwipl,2023-09-09
Kanco Enterprises Limited,Delisted,Cotton,1.00,1.793,wwipl,2023-09-09
Gujarat Wedge Wire Screens Limited,Delisted,Miscellaneous,20.00,1.645,wwipl,2023-09-09
Ritz Mercantile Limited,Illiquid/unquoted,Financial Service,15.25,1.601,wwipl,2023-09-09
Sharp Commercial Enterprises Limited,Illiquid/unquoted,Retail,10.00,1.590,wwipl,2023-09-09
Simplex Projects Limited,Suspended,Engineering,1.20,1.512,wwipl,2023-09-09
Alchemist Limited,Suspended,Miscellaneous,1.11,1.505,wwipl,2023-09-09
Nidhan Commercial Company Ltd,Illiquid/unquoted,Miscellaneous,50.40,1.504,wwipl,2023-09-09
Electra Jaipur Limited,Illiquid/unquoted,Electricals,10.00,1.496,wwipl,2023-09-09
Be Swasth Healthcare Limited,Illiquid/unquoted,Healthcare,13.25,1.483,wwipl,2023-09-09
Jeco Exports And Finance Limited,Illiquid/unquoted,Financial Service,10.00,1.482,wwipl,2023-09-09
Uttaranchal Leasing Limited,Illiquid/unquoted,Financial Service,10.10,1.414,wwipl,2023-09-09
Uddhav Properties Limited,Illiquid/unquoted,Financial Service,10.00,1.410,wwipl,2023-09-09
SNS Diagnostics Limited,Illiquid/unquoted,Financial Service,10.00,1.350,wwipl,2023-09-09
Mangalam Engineering Projects Limited,Illiquid/unquoted,Financial Service,10.10,1.237,wwipl,2023-09-09
Aditri Industries Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",0.96,1.197,wwipl,2023-09-09
Denim Developers Limited,Illiquid/unquoted,Real Estate,1.10,1.168,wwipl,2023-09-09
SAB Electronic Devices Limited,Illiquid/unquoted,Electronics,10.00,1.160,wwipl,2023-09-09
Impala Industrial Enterprises Limited,Illiquid/unquoted,Financial Service,1.05,1.155,wwipl,2023-09-09
Abhinandan Enterprises Limited,Illiquid/unquoted,Financial Service,10.00,1.155,wwipl,2023-09-09
Avail Holding Limited,Illiquid/unquoted,Real Estate,10.00,1.150,wwipl,2023-09-09
Devrup Trading Limited,Illiquid/unquoted,Financial Service,10.00,1.130,wwipl,2023-09-09
Technofab Engineering Ltd,Suspended,Engineering,1.05,1.101,wwipl,2023-09-09
Nawratan Arts Limited,Illiquid/unquoted,Trading,10.00,1.100,wwipl,2023-09-09
Basant India Limited,Illiquid/unquoted,Financial Service,1.05,1.083,wwipl,2023-09-09
Blue Blends India Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",0.50,1.083,wwipl,2023-09-09
Shri Gurudev En Trade Limited,Illiquid/unquoted,Financial Service,10.00,1.076,wwipl,2023-09-09
