Company Name,Price,Lot Size,Source,ETL Date
ESDS Unlisted Shares, ₹ 245,100 Shares,uzs,2023-09-13
Fairfield Atlas Limited Unlisted Shares, ₹ 319,50 Shares,uzs,2023-09-13
Federal-Mogul Anand Sealings India Limited Unlisted Shares,-,-,uzs,2023-09-13
Fincare Business Finance Unlisted Shares, ₹ 65,250 Shares,uzs,2023-09-13
Fincare Small Finance Bank Unlisted Shares,-,-,uzs,2023-09-13
Fino Paytech Limited Unlisted Shares, ₹ 165,100 Shares,uzs,2023-09-13
Five-Star Business Finance Limited Unlisted Shares, ₹ 575,25 Shares,uzs,2023-09-13
Flipkart Unlisted Shares,-,-,uzs,2023-09-13
Fresenius Kabi Oncology Unlisted Shares,-,-,uzs,2023-09-13
Frick India Limited Unlisted Shares, ₹ 7750,10 Shares,uzs,2023-09-13
Gandhar Oil Refinery Limited India Unlisted Shares, ₹ 275,50 Shares,uzs,2023-09-13
Ganga Care Hospitals Limited Unlisted Shares,-,-,uzs,2023-09-13
Gannon Dunkerley & Company Limited Unlisted Shares,-,-,uzs,2023-09-13
GG Automotive Gears Limited Unlisted Shares, ₹ 42,500 Shares,uzs,2023-09-13
Gitanjali Gems Limited Unlisted Shares,-,-,uzs,2023-09-13
GKN Driveline India Limited Unlisted Shares, ₹ 1250,25 Shares,uzs,2023-09-13
Goa Shipyard Limited Unlisted Shares, ₹ 284,100 Shares,uzs,2023-09-13
Gobind Sugar Mills Limited Unlisted Shares, ₹ 159,100 Shares,uzs,2023-09-13
GoDigit General Insurance Limited Unlisted Shares,-,-,uzs,2023-09-13
Good Dot Unlisted Shares,-,-,uzs,2023-09-13
Guindy Machine Tools Unlisted Shares,-,-,uzs,2023-09-13
Gujarat Credo Mineral Industries Unlisted Shares,-,-,uzs,2023-09-13
Gujarat NRE Coke Limited Unlisted Shares, ₹ 0.5029,5000 Shares,uzs,2023-09-13
Gynofem Healthcare Unlisted Shares Price,-,-,uzs,2023-09-13
HDB Financial Services Limited Unlisted Shares, ₹ 715,25 Shares,uzs,2023-09-13
HDFC Ergo General Insurance Limited Unlisted Shares,-,-,uzs,2023-09-13
HDFC Securities Limited Unlisted Shares, ₹ 11900,10 Shares,uzs,2023-09-13
Hella India Lighting Unlisted Shares, ₹ 925,25 Shares,uzs,2023-09-13
Hero Fincorp Limited Unlisted Shares, ₹ 1240,25 Shares,uzs,2023-09-13
Hexaware Technologies Unlisted Shares, ₹ 620,25 Shares,uzs,2023-09-13
Hicks Thermometers India Limited Unlisted Shares, ₹ 1800,25 Shares,uzs,2023-09-13
Hindustan Housing Company Unlisted Shares,-,-,uzs,2023-09-13
Hindustan Times Unlisted Shares, ₹ 850,25 Shares,uzs,2023-09-13
Hindusthan Engineering & Industries Limited Unlisted Shares, ₹ 215,100 Shares,uzs,2023-09-13
Hira Ferro Alloys Unlisted Shares,-,-,uzs,2023-09-13
Home First Finance Company (HFFC) Limited Unlisted Shares,-,-,uzs,2023-09-13
Honeywell Electrical Devices and Systems India Unlisted Shares,-,10 Shares,uzs,2023-09-13
Hutti Gold Mines Company Limited Unlisted Shares, ₹ 119838,1 Shares,uzs,2023-09-13
ICEX (Indian Commodity Exchange) Limited Unlisted Shares, ₹ 6.0027,1000 Shares,uzs,2023-09-13
ICL Fincorp Limited Unlisted Shares, ₹ 26,500 Shares,uzs,2023-09-13
Incred Holdings Limited Unlisted Shares,-,-,uzs,2023-09-13
India Carbon Limited Unlisted Shares, ₹ 975,25 Shares,uzs,2023-09-13
India Exposition Mart Ltd Unlisted Share,-,-,uzs,2023-09-13
Indian Potash Limited Unlisted Share,-,25 Shares,uzs,2023-09-13
Indo Bonito Multinational Limited,-,-,uzs,2023-09-13
Indofil Industries Limited Unlisted Shares, ₹ 725,25 Shares,uzs,2023-09-13
Inkel Limited Unlisted Shares, ₹ 13.5355,1000 Shares,uzs,2023-09-13
Inox Leasing and Finance Limited Unlisted Shares, ₹ 2200,25 Shares,uzs,2023-09-13
J.K. Fenner (India) Limited Unlisted Shares,-,-,uzs,2023-09-13
