Company Name,Share Price,Sector,ISIN,Special Comment,Source,ETL Date
Anugraha Valve Castings Unlisted Shares,₹ 300,Castings,INE629Z01015,Strong fundamentals,bsus,2023-09-10
ACS Technologies Unlisted Shares,₹ 44,IT,INE07ZN01014,IPO soon,bsus,2023-09-10
API Holdings (PharmEasy),₹ 12,e-pharmacy,INE0DJ201029,IPO soon. Best startup fintech,bsus,2023-09-10
Arohan Financial Services Unlisted Shares,₹ 140,NBFC MFI,INE808K01017,IPO soon,bsus,2023-09-10
B9 Beverages (Bira 91) Unlisted Shares,₹ 650,Liquor,INE833U01014,Strong brand value,bsus,2023-09-10
Mayasheel Retail India Unlisted Shares,₹ 36,Retail,INE03NO01017,Fast growing retail company,bsus,2023-09-10
Bharat Nidhi (Bharat Bank) Unlisted Shares,"₹ 11,000",NBFC - holding co,INE286F01016,Holding stake in Times Group,bsus,2023-09-10
BLSX Limited Unlisted Shares,₹ 22,Heavy engineering,INE0MDG01016,,bsus,2023-09-10
boAt (Imagine Marketing) Unlisted Shares,₹ 925,cons electronics,INE03AV01027,IPO soon,bsus,2023-09-10
BVG India (Bharat Vikas Group) Unlisted Shares,"₹ 1,000",Integrated Serv Co,INE257H01013,IPO soon,bsus,2023-09-10
Bharat Hotels Unlisted Shares,₹ 150,Hotels,INE466A01015,Operates Lalit chain of hotels + IPO soon,bsus,2023-09-10
Capital Small Finance Bank Unlisted Shares,₹ 425,Small Fin Bank,INE646H01017,IPO soon,bsus,2023-09-10
Care Health Insurance Unlisted Shares,₹ 180,Health Insurance,INE119J01011,Health insurance company,bsus,2023-09-10
Carrier AirCon Refrigeration Unlisted Shares,₹ 300,Air-conditioning,INE040I01011,"Debt free, high dividend yield",bsus,2023-09-10
Chennai Super Kings (CSK) Unlisted Shares,₹ 175,Cricket team,INE852S01026,"IPL Franchise, brand value",bsus,2023-09-10
Cochin International Airport Unlisted Shares,₹ 195,Airport,INE02KH01019,PPP profitable infra company,bsus,2023-09-10
Desi Tea Time Unlisted Shares,₹ 48 - 50,Foods & Bev,,,bsus,2023-09-10
ESDS Software Solution Unlisted Shares,₹ 235,Cloud solutions,INE0DRI01011,IPO soon,bsus,2023-09-10
ESL Steel Unlisted  Shares,₹ 31,Steel,INE481K01021,Vedanta group. Strong financials,bsus,2023-09-10
FINO PayTech Unlisted Shares,₹ 150,Payments bank,INE511I01011,Financial inclusion boost,bsus,2023-09-10
Frick India Unlisted Shares,₹ 6750,Ind Refrigeration,INE499C01012,"Undervalued stock, land bank",bsus,2023-09-10
Gandhar Oil Unlisted Shares,₹ 350,Oil Refinery,INE717W01049,"Fundamentals strong, IPO soon",bsus,2023-09-10
HDB Financial Services Unlisted Shares,₹ 675,NBFC,INE756I01012,HDFC Bank subsidiary + IPO soon,bsus,2023-09-10
HDFC Securities Unlisted Shares,₹ 11500,Brokerage,INE700G01014,HDFC subsidiary + IPO soon,bsus,2023-09-10
Hero FinCorp Unlisted Shares,₹ 1100,NBFC,INE957N01016,Hero group + IPO soon,bsus,2023-09-10
Hexaware Unlisted Shares,₹ 620,Software,INE093A01033,Undervalued IT company,bsus,2023-09-10
Indian Comm Exch (ICEX) Unlisted Shares,₹ 4.50,Exchange,INE678L01012,"3rd commodity exchange after MCX, NCDEX",bsus,2023-09-10
Indofil Industries Unlisted Shares,₹ 700,Agrochemical,INE071I01016,"Strong government focus, agrochemical sector",bsus,2023-09-10
Ixigo (Le Travenues Tech) Unlisted Shares,₹ 95,Travel portal,INE0HV901016,IPO soon. Travel startup,bsus,2023-09-10
Kannur International Airport Unlisted Shares,₹ 108,Airport,INE02Y401013,PPP Infra Company,bsus,2023-09-10
Kurlon Ltd Unlisted Shares,₹ 575,Holding co,INE781F01032,Kurlon brand premium,bsus,2023-09-10
Kurlon Enterprises Unlisted Shares,₹ 800,Mattress maker,INE387W01025,Superbrand consumption boom. IPO soon,bsus,2023-09-10
Lava International Unlisted Shares,₹ 98,Cons electronics,INE745X01014,PLI scheme. contract manufacturer,bsus,2023-09-10
Madbow Ventures (New Arrival),₹ 50 - 55,Cons platform,INE0JKD01014,fashion and lifestyle brand,bsus,2023-09-10
Market Simplified India Unlisted Shares,₹ 54,Software,INE931L01015,NSE Holding 30% stake,bsus,2023-09-10
Merino Industries Unlisted Shares,₹ 2900,Laminates,INE662B01017,Highly profitable company,bsus,2023-09-10
MKCL,₹ 375,IT education,INE03KR01016,cash rich + debt free e learning,bsus,2023-09-10
Metropolitan Stock(MSEI) Unlisted Shares,₹ 0.90,Stock exchange,INE312K01010,"3rd functional stock exchange after BSE, NSE",bsus,2023-09-10
Mohan Meakin Unlisted Shares,"₹ 1,650",Liquor,INE136D01018,"Old monk maker, listing soon",bsus,2023-09-10
