Company Name,Share Price,Sector,ISIN,Special Comment,Source,ETL Date
Motilal Home Finance Unlisted Shares,₹ 9.65,Home Finance,INE658R01011,Motilal Oswal group housing finance co,bsus,2023-09-10
Nayara Energy (Essar Oil) Unlisted Shares,₹ 225,Refinery,INE011A01019,Russian oil major owned oil firm,bsus,2023-09-10
National Stock Exch(NSE) Unlisted Shares,"₹ 3,250",Stock Exchange,INE721I01024,World's leading stock exchange. IPO soon,bsus,2023-09-10
NSDL Unlisted Shares,Not Available,Depository,,DRHP Filed. IPO soon,bsus,2023-09-10
One MobiKwik Systems Unlisted Shares,₹ 375,digital wallet,INE0HLU01028,IPO soon,bsus,2023-09-10
Oyo Unlisted Shares,₹ 68,Hotel chain,INE130H01012,World's 3rd largest hotel chain. IPO soon,bsus,2023-09-10
Otis Elevator Company (India) Limited Shares,"₹ 3,750",Lift Manufacturer,INE099A01014,Very High Dividend Yield,bsus,2023-09-10
Paymate Unlisted Shares,₹ 340,Payment Sols,INE08J501021,Leading B2B payments services. IPO soon,bsus,2023-09-10
Polymatech Electronics Unlisted Shares,₹ 465,Semiconductor,INE0OLN01011,LED semiconductor chips,bsus,2023-09-10
Reliance Retail Unlisted Shares,Best rates,Retail,INE742O01010,RIL group organised retail giant,bsus,2023-09-10
SBI Home Finance Unlisted Shares,₹ 53,Home Loans,INE627A01012,Home Loans,bsus,2023-09-10
Skinbook Laboratories Unlisted Shares (New),₹ 38,Cosmetics,INE0Q2O01017,Cosmetics,bsus,2023-09-10
Sterlite Power Transm Unlisted Shares,₹ 635,Infrastructure,INE110V01015,Cheapest power infrastructure stock,bsus,2023-09-10
Studds Accessories Unlisted Shares,₹ 865,Helmet maker,INE00Q601028,World’s largest helmet maker. IPO soon,bsus,2023-09-10
Tata Capital Unlisted Shares  (New Arrival),₹ 475,NBFC,INE976I01016,Tata group leading financial firm,bsus,2023-09-10
Tata Technologies Unlisted Shares,₹ 925,Technology,INE142M01017,Tata group engineering co. IPO soon,bsus,2023-09-10
TRL Krosaki Refractories Unlisted Shares,₹ 1275,Refractories,INE012L01014,"No 1 Refractory, strong fundamentals",bsus,2023-09-10
Urban Tots Unlisted Shares,₹ 48,"Housewares, Toys",INE0MQ801018,Toys exporter,bsus,2023-09-10
Utkarsh Microfinance Unlisted Shares,₹ 195,Small Fin Bank,INE396P01012,Financial inclusion beneficiary + IPO soon,bsus,2023-09-10
Waaree Energies Unlisted Shares(New Arrival),₹ 775,Solar modules leader,INE377N01017,Renewable energy Solar PV Module manufacturer,bsus,2023-09-10
A V Thomas & Company (AVT) Unlisted Shares,₹ 19500,Plantation,INE944K01010,,bsus,2023-09-10
A B Corp (Amitabh Bachchan Corp) Unlisted Shares,₹ 11,Entertainment,INE130H01012,,bsus,2023-09-10
Adtech Systems Unlisted Shares,₹ 32,Security systems,INE257C01014,,bsus,2023-09-10
Axles India Unlisted Shares,₹ 185,Auto ancillary,INE701C01011,,bsus,2023-09-10
Bombay Gas Company Unlisted Shares,₹ best,Oxygen gas,INE04OE01014,,bsus,2023-09-10
Capgemini Technologies (iGate Technologies) (Patni Computers) Unlisted Shares,₹ 12000 - 12100,Software,INE177B01032,,bsus,2023-09-10
Elcid Investments Unlisted Shares,₹ 150000,Holding Co,INE927X01018,,bsus,2023-09-10
GlobeSecure Technologies Unlisted Shares,Now Listed on NSE,IT solutions,INE00WS01015,,bsus,2023-09-10
Hindustan  Times Unlisted  Shares,₹ 800 - 815,Holding Co,INE501G01024,,bsus,2023-09-10
GKN Driveline India Unlisted Shares,₹ 1200,Auto ancillary,INE527A01014,,bsus,2023-09-10
Mohindra Fastners Unlisted Shares,₹ 230 - 240,Fastners,INE705H01011,,bsus,2023-09-10
Silverline Technologies Unlisted Shares,₹ 9.50,IT - Software,INE368A01021,,bsus,2023-09-10
Flipkart Unlisted Shares,coming soon,e-Commerce,INE075T01014,,bsus,2023-09-10
HDFC Ergo General Insurance Unlisted Shares,Not Available,Insurance,INE392I01016,,bsus,2023-09-10
Xerox India Unlisted Shares,₹ 250,Printing solutions,INE034E01013,,bsus,2023-09-10
Yokogawa India Unlisted Shares,₹ 900,,INE718A01019,,bsus,2023-09-10
Taparia Tools Unlisted Shares,₹ 4000,Tools,INE614R01014,,bsus,2023-09-10
,Company Closed/ Inactive,,,,bsus,2023-09-10
Essar Steel Unlisted Shares,Not tradeable,Steel,INE127A01021,,bsus,2023-09-10
One97 Communications (Paytm) Unlisted Shares,"now listed on NSE, BSE",e-commerce,INE982J01020,,bsus,2023-09-10
SMC Global Securities Unlisted Shares,"Now listed on BSE, NSE",Brokerage,INE103C01036,,bsus,2023-09-10
UTI Asset Management Company (UTI AMC) Unlisted Shares,"Now listed on NSE, BSE",Asset management company,INE094J01016,,bsus,2023-09-10
Suryoday Small Finance Bank Unlisted Shares,"Now listed on BSE, NSE after IPO",Small Finance Bank,INE428Q01011,,bsus,2023-09-10
Barbeque Nation Hospitality Unlisted Shares,"Now listed on BSE, NSE after IPO",Restaurants. Rakesh Jhunjhunwala holds stake.,INE382M01027,,bsus,2023-09-10
Nazara Technologies Unlisted Shares,"Now listed on BSE, NSE after IPO",Gaming. Rakesh Jhunjhunwala holds stake.,INE418L01021,,bsus,2023-09-10
AGS Transact Technologies Unlisted Shares,"now listed on NSE, BSE",Digital payment processing,INE583L07011,,bsus,2023-09-10
Delhivery Unlisted Shares,"Now Listed on BSE, NSE",Logistics,INE148O01028,,bsus,2023-09-10
Bikaji Foods International Unlisted Shares,"Now Listed on BSE, NSE",FMCG - ethnic snacks,INE00E101023,,bsus,2023-09-10
Tamilnad Mercantile Bank (TMB) Unlisted Shares,"Now Listed on BSE, NSE",Private Bank,INE668A01016,,bsus,2023-09-10
